"id" "Name" "Lon" "Lat"
314 "dompedro,ma" -44.436 -5.033
315 "presidentedutra,ma" -44.49 -5.29
316 "santamariadopara,pa" -47.576 -1.352
317 "colinas,ma" -44.249 -6.026
318 "acailandia,ma" -47.505 -4.947
319 "piripiri,pi" -41.777 -4.273
320 "piracuruca,pi" -41.709 -3.928
321 "tucurui,pa" -49.673 -3.768
322 "saobernardo,ma" -42.418 -3.361
323 "saoluis,ma" -44.303 -2.53
324 "tailandia,pa" -48.953 -2.947
325 "bujaru,pa" -48.045 -1.515
326 "mirandadonorte,ma" -44.584 -3.569
327 "santaisabeldopara,pa" -48.161 -1.299
328 "maracacume,ma" -45.959 -2.043
329 "pinheiro,ma" -45.083 -2.521
330 "aparecida,sp" -45.23 -22.847
331 "riomaria,pa" -50.048 -7.311
332 "tresmarias,mg" -45.242 -18.206
333 "paracatu,mg" -46.875 -17.222
334 "altoparaisodegoias,go" -47.51 -14.133
335 "camposbelos,go" -46.772 -13.037
336 "arraias,to" -46.938 -12.931
337 "portonacional,to" -48.417 -10.708
338 "conselheirolafaiete,mg" -43.786 -20.66
339 "nanuque,mg" -40.354 -17.839
340 "serradosaimores,mg" -40.248 -17.783
341 "juina,mt" -58.741 -11.378
342 "marau,rs" -52.2 -28.449
343 "dourados,ms" -54.806 -22.221
344 "campogrande,ms" -54.646 -20.443
345 "coxim,ms" -54.76 -18.507
346 "jaciara,mt" -54.968 -15.965
347 "cuiaba,mt" -56.097 -15.596
348 "brasnorte,mt" -57.979 -12.155
349 "passofundo,rs" -52.407 -28.263
350 "carazinho,rs" -52.786 -28.284
351 "navirai,ms" -54.191 -23.065
352 "cunhapora,sc" -53.168 -26.894
353 "maravilha,sc" -53.173 -26.761
354 "barracao,pr" -53.633 -26.254
355 "santoantoniodosudoeste,pr" -53.723 -26.07
356 "rondonopolis,mt" -54.636 -16.471
357 "perolad'oeste,pr" -53.74 -25.824
358 "planalto,pr" -53.766 -25.716
359 "sonora,ms" -54.758 -17.577
360 "tangaradaserra,mt" -57.486 -14.619
361 "marechalcandidorondon,pr" -54.057 -24.556
362 "guaira,pr" -54.256 -24.08
363 "eldorado,ms" -54.284 -23.787
364 "riobrilhante,ms" -54.546 -21.802
365 "saogabrieldooeste,ms" -54.566 -19.395
366 "iguatu,ce" -39.299 -6.359
367 "cajazeiras,pb" -38.562 -6.89
368 "ico,ce" -38.862 -6.401
369 "pombal,pb" -37.802 -6.77
370 "monteiro,pb" -37.12 -7.889
371 "pesqueira,pe" -36.696 -8.358
372 "agrestina,pe" -35.945 -8.458
373 "cupira,pe" -35.95 -8.617
374 "murici,al" -35.943 -9.307
375 "panelas,pe" -36.006 -8.664
376 "petrolina,pe" -40.508 -9.393
377 "santamariadaboavista,pe" -39.825 -8.809
378 "cabrobo,pe" -39.307 -8.512
379 "belemdesaofrancisco,pe" -38.964 -8.758
380 "floresta,pe" -38.568 -8.601
381 "inga,pb" -35.613 -7.268
382 "itabaiana,pb" -35.333 -7.329
383 "juripiranga,pb" -35.238 -7.373
384 "itambe,pe" -35.113 -7.41
385 "gravata,pe" -35.565 -8.201
386 "iati,pe" -36.846 -9.046
387 "aguasbelas,pe" -37.123 -9.111
388 "mamanguape,pb" -35.126 -6.839
389 "goiana,pe" -35.003 -7.561
390 "ibimirim,pe" -37.69 -8.541
391 "princesaisabel,pb" -37.993 -7.737
392 "belojardim,pe" -36.424 -8.336
393 "custodia,pe" -37.643 -8.088
394 "ouricuri,pe" -40.082 -7.883
395 "araripina,pe" -40.498 -7.576
396 "salgueiro,pe" -39.12 -8.067
397 "serratalhada,pe" -38.296 -7.986
398 "juazeiro,ba" -40.503 -9.414
399 "atalaia,al" -36.023 -9.502
400 "alhandra,pb" -34.914 -7.439
401 "crato,ce" -39.409 -7.234
402 "missaovelha,ce" -39.143 -7.25
403 "bacabeira,ma" -44.316 -2.971
404 "juazeirodonorte,ce" -39.315 -7.213
